trial,list_id,item_id,within_list_pos,train_id,within_train_pos,is_boundary,reward,expected_value,outcome_rpe,abs_outcome_rpe,encoding_drift,recall_prob,recalled,hypothesis,subject_id
17,0,17,17,2,5,0,51.86,62.5697,-10.7097,10.7097,0.51606455,0.62145,1,baseline,0
18,0,18,18,3,0,1,69.66,59.3568,10.3032,10.3032,0.7654548,0.736548,1,baseline,0
19,0,19,19,3,1,0,30.5,62.4477,-31.9477,31.9477,0.54792155,0.639839,0,baseline,0
20,0,20,20,3,2,0,23.07,52.8634,-29.7934,29.7934,0.5446901,0.645321,1,baseline,0
21,0,21,21,3,3,0,73.03,43.9254,29.1046,29.1046,0.5436569,0.630623,0,baseline,0
22,0,22,22,3,4,0,51.4,52.6568,-1.2568,1.2568,0.5018852,0.622972,1,baseline,0
23,0,23,23,3,5,0,51.11,52.2797,-1.1697,1.1697,0.50175455,0.636649,0,baseline,0
24,1,24,0,4,0,0,40.35,50.0,-9.65,9.65,0.514475,0.633907,0,baseline,0
25,1,25,1,4,1,0,26.64,47.105,-20.465,20.465,0.5306975,0.634377,1,baseline,0
26,1,26,2,4,2,0,71.85,40.9655,30.8845,30.8845,0.54632675,0.64373,1,baseline,0
27,1,27,3,4,3,0,65.89,50.2309,15.6591,15.6591,0.52348865,0.645859,1,baseline,0
28,1,28,4,4,4,0,44.59,54.9286,-10.3386,10.3386,0.5155079,0.632004,1,baseline,0
29,1,29,5,4,5,0,86.26,51.827,34.433,34.433,0.5516495,0.65813,1,baseline,0
30,1,30,6,5,0,1,45.09,62.1569,-17.0669,17.0669,0.77560035,0.743358,1,baseline,0
31,1,31,7,5,1,0,0.73,57.0368,-56.3068,56.3068,0.5844602,0.651184,1,baseline,0
32,1,32,8,5,2,0,63.73,40.1448,23.5852,23.5852,0.5353778,0.646972,1,baseline,0
33,1,33,9,5,3,0,30.84,47.2204,-16.3804,16.3804,0.5245706,0.641589,1,baseline,0
34,1,34,10,5,4,0,21.53,42.3062,-20.7762,20.7762,0.5311643,0.624638,1,baseline,0
35,1,35,11,5,5,0,6.75,36.0734,-29.3234,29.3234,0.5439851,0.63012,0,baseline,0
36,1,36,12,6,0,1,35.24,27.2764,7.9636,7.9636,0.7619454,0.730001,1,baseline,0
37,1,37,13,6,1,0,76.56,29.6655,46.8945,46.8945,0.57034175,0.647585,1,baseline,0
38,1,38,14,6,2,0,57.22,43.7338,13.4862,13.4862,0.5202293,0.63375,1,baseline,0
39,1,39,15,6,3,0,65.57,47.7797,17.7903,17.7903,0.52668545,0.647849,1,baseline,0
40,1,40,16,6,4,0,30.97,53.1168,-22.1468,22.1468,0.5332202,0.642169,1,baseline,0
41,1,41,17,6,5,0,66.87,46.4727,20.3973,20.3973,0.53059595,0.649855,0,baseline,0
42,1,42,18,7,0,1,55.67,52.5919,3.0781,3.0781,0.75461715,0.723654,1,baseline,0
43,1,43,19,7,1,0,37.84,53.5153,-15.6753,15.6753,0.52351295,0.634557,1,baseline,0
44,1,44,20,7,2,0,50.38,48.8127,1.5673,1.5673,0.50235095,0.622262,1,baseline,0
45,1,45,21,7,3,0,59.18,49.2829,9.8971,9.8971,0.51484565,0.632136,0,baseline,0
46,1,46,22,7,4,0,27.15,52.252,-25.102,25.102,0.537653,0.638457,0,baseline,0
47,1,47,23,7,5,0,30.53,44.7214,-14.1914,14.1914,0.5212871,0.649322,1,baseline,0
48,2,48,0,8,0,0,34.92,50.0,-15.08,15.08,0.52262,0.641564,0,baseline,0
49,2,49,1,8,1,0,60.13,45.476,14.654,14.654,0.521981,0.627967,0,baseline,0
50,2,50,2,8,2,0,82.49,49.8722,32.6178,32.6178,0.5489267,0.642917,1,baseline,0
51,2,51,3,8,3,0,47.63,59.6575,-12.0275,12.0275,0.51804125,0.625982,1,baseline,0
52,2,52,4,8,4,0,24.53,56.0493,-31.5193,31.5193,0.54727895,0.653548,1,baseline,0
53,2,53,5,8,5,0,52.23,46.5935,5.6365,5.6365,0.50845475,0.617804,0,baseline,0
54,2,54,6,9,0,1,38.86,48.2844,-9.4244,9.4244,0.7641366,0.727456,1,baseline,0
55,2,55,7,9,1,0,51.33,45.4571,5.8729,5.8729,0.50880935,0.609015,1,baseline,0
56,2,56,8,9,2,0,64.57,47.219,17.351,17.351,0.5260265,0.641454,0,baseline,0
57,2,57,9,9,3,0,25.66,52.4243,-26.7643,26.7643,0.54014645,0.66255,0,baseline,0
58,2,58,10,9,4,0,37.1,44.395,-7.295,7.295,0.5109425,0.619191,0,baseline,0
59,2,59,11,9,5,0,62.56,42.2065,20.3535,20.3535,0.53053025,0.634872,1,baseline,0
60,2,60,12,10,0,1,46.39,48.3125,-1.9225,1.9225,0.75288375,0.719582,1,baseline,0
61,2,61,13,10,1,0,85.13,47.7358,37.3942,37.3942,0.5560913,0.649183,0,baseline,0
62,2,62,14,10,2,0,85.01,58.954,26.056,26.056,0.539084,0.63523,0,baseline,0
63,2,63,15,10,3,0,33.69,66.7708,-33.0808,33.0808,0.5496212,0.639236,1,baseline,0
64,2,64,16,10,4,0,74.98,56.8466,18.1334,18.1334,0.5272001,0.640317,1,baseline,0
65,2,65,17,10,5,0,76.87,62.2866,14.5834,14.5834,0.5218751,0.640704,0,baseline,0
66,2,66,18,11,0,1,65.42,66.6616,-1.2416,1.2416,0.7518624,0.73114,1,baseline,0
67,2,67,19,11,1,0,47.97,66.2891,-18.3191,18.3191,0.52747865,0.634788,0,baseline,0
68,2,68,20,11,2,0,49.99,60.7934,-10.8034,10.8034,0.5162051,0.637267,0,baseline,0
69,2,69,21,11,3,0,56.74,57.5524,-0.8124,0.8124,0.5012186,0.612597,0,baseline,0
70,2,70,22,11,4,0,39.74,57.3087,-17.5687,17.5687,0.52635305,0.626858,1,baseline,0
71,2,71,23,11,5,0,80.3,52.0381,28.2619,28.2619,0.54239285,0.64693,1,baseline,0
72,3,72,0,12,0,0,34.78,50.0,-15.22,15.22,0.52283,0.642322,1,baseline,0
73,3,73,1,12,1,0,33.81,45.434,-11.624,11.624,0.517436,0.620477,0,baseline,0
74,3,74,2,12,2,0,42.47,41.9468,0.5232,0.5232,0.5007848,0.597667,1,baseline,0
75,3,75,3,12,3,0,67.55,42.1038,25.4462,25.4462,0.5381693,0.639926,1,baseline,0
76,3,76,4,12,4,0,32.63,49.7376,-17.1076,17.1076,0.5256614,0.619363,0,baseline,0
77,3,77,5,12,5,0,22.56,44.6053,-22.0453,22.0453,0.53306795,0.628739,0,baseline,0
78,3,78,6,13,0,1,20.82,37.9917,-17.1717,17.1717,0.77575755,0.751205,0,baseline,0
79,3,79,7,13,1,0,33.12,32.8402,0.2798,0.2798,0.5004197,0.63854,0,baseline,0
80,3,80,8,13,2,0,59.51,32.9242,26.5858,26.5858,0.5398787,0.627625,1,baseline,0
81,3,81,9,13,3,0,28.17,40.8999,-12.7299,12.7299,0.51909485,0.646898,0,baseline,0
82,3,82,10,13,4,0,34.38,37.0809,-2.7009,2.7009,0.50405135,0.61154,1,baseline,0
83,3,83,11,13,5,0,39.46,36.2707,3.1893,3.1893,0.50478395,0.623915,0,baseline,0
84,3,84,12,14,0,1,17.15,37.2275,-20.0775,20.0775,0.78011625,0.744325,1,baseline,0
85,3,85,13,14,1,0,50.48,31.2042,19.2758,19.2758,0.5289137,0.652887,0,baseline,0
86,3,86,14,14,2,0,77.62,36.987,40.633,40.633,0.5609495,0.650693,1,baseline,0
87,3,87,15,14,3,0,63.26,49.1769,14.0831,14.0831,0.52112465,0.620687,1,baseline,0
88,3,88,16,14,4,0,58.68,53.4018,5.2782,5.2782,0.5079173,0.630577,1,baseline,0
89,3,89,17,14,5,0,32.49,54.9853,-22.4953,22.4953,0.53374295,0.653393,0,baseline,0
90,3,90,18,15,0,1,42.44,48.2367,-5.7967,5.7967,0.75869505,0.734555,1,baseline,0
91,3,91,19,15,1,0,22.74,46.4977,-23.7577,23.7577,0.53563655,0.614867,0,baseline,0
92,3,92,20,15,2,0,51.43,39.3704,12.0596,12.0596,0.5180894,0.644992,1,baseline,0
93,3,93,21,15,3,0,43.05,42.9883,0.0617,0.0617,0.50009255,0.640365,1,baseline,0
94,3,94,22,15,4,0,31.74,43.0068,-11.2668,11.2668,0.5169002,0.621509,0,baseline,0
95,3,95,23,15,5,0,94.88,39.6267,55.2533,55.2533,0.58287995,0.670995,0,baseline,0
0,0,0,0,0,0,0,66.36,50.0,16.36,16.36,0.52454,0.632155,1,baseline,1
1,0,1,1,0,1,0,70.94,54.908,16.032,16.032,0.524048,0.65299,0,baseline,1
2,0,2,2,0,2,0,57.58,59.7176,-2.1376,2.1376,0.5032064,0.630637,1,baseline,1
3,0,3,3,0,3,0,50.45,59.0763,-8.6263,8.6263,0.51293945,0.6456,0,baseline,1
4,0,4,4,0,4,0,50.64,56.4884,-5.8484,5.8484,0.5087726,0.640168,0,baseline,1
5,0,5,5,0,5,0,63.31,54.7339,8.5761,8.5761,0.51286415,0.628456,1,baseline,1
6,0,6,6,1,0,1,50.49,57.3067,-6.8167,6.8167,0.76022505,0.72917,1,baseline,1
7,0,7,7,1,1,0,47.27,55.2617,-7.9917,7.9917,0.51198755,0.639151,1,baseline,1
8,0,8,8,1,2,0,23.03,52.8642,-29.8342,29.8342,0.5447513,0.643676,1,baseline,1
9,0,9,9,1,3,0,49.29,43.9139,5.3761,5.3761,0.50806415,0.62181,1,baseline,1
10,0,10,10,1,4,0,57.71,45.5268,12.1832,12.1832,0.5182748,0.611491,0,baseline,1
11,0,11,11,1,5,0,100.0,49.1817,50.8183,50.8183,0.57622745,0.649561,1,baseline,1
12,0,12,12,2,0,1,48.53,64.4272,-15.8972,15.8972,0.7738458,0.74403,1,baseline,1
13,0,13,13,2,1,0,21.93,59.658,-37.728,37.728,0.556592,0.646521,1,baseline,1
14,0,14,14,2,2,0,76.07,48.3396,27.7304,27.7304,0.5415956,0.636301,1,baseline,1
15,0,15,15,2,3,0,9.77,56.6587,-46.8887,46.8887,0.57033305,0.648684,1,baseline,1
16,0,16,16,2,4,0,51.83,42.5921,9.2379,9.2379,0.51385685,0.645746,0,baseline,1
17,0,17,17,2,5,0,47.04,45.3635,1.6765,1.6765,0.50251475,0.617621,0,baseline,1
18,0,18,18,3,0,1,31.48,45.8664,-14.3864,14.3864,0.7715796,0.743963,1,baseline,1
19,0,19,19,3,1,0,55.04,41.5505,13.4895,13.4895,0.52023425,0.612845,1,baseline,1
20,0,20,20,3,2,0,36.3,45.5974,-9.2974,9.2974,0.5139461,0.614702,1,baseline,1
21,0,21,21,3,3,0,49.7,42.8081,6.8919,6.8919,0.51033785,0.614665,0,baseline,1
22,0,22,22,3,4,0,42.4,44.8757,-2.4757,2.4757,0.50371355,0.611702,1,baseline,1
23,0,23,23,3,5,0,88.73,44.133,44.597,44.597,0.5668955,0.631429,1,baseline,1
24,1,24,0,4,0,0,48.71,50.0,-1.29,1.29,0.501935,0.626176,1,baseline,1
25,1,25,1,4,1,0,33.5,49.613,-16.113,16.113,0.5241695,0.636037,1,baseline,1
26,1,26,2,4,2,0,6.91,44.7791,-37.8691,37.8691,0.55680365,0.636301,1,baseline,1
27,1,27,3,4,3,0,86.8,33.4184,53.3816,53.3816,0.5800723999999999,0.642032,1,baseline,1
28,1,28,4,4,4,0,75.95,49.4329,26.5171,26.5171,0.5397756499999999,0.62751,1,baseline,1
29,1,29,5,4,5,0,32.09,57.388,-25.298,25.298,0.537947,0.636417,1,baseline,1
30,1,30,6,5,0,1,63.54,49.7986,13.7414,13.7414,0.7706121,0.741257,1,baseline,1
31,1,31,7,5,1,0,69.38,53.921,15.459,15.459,0.5231885000000001,0.62922,0,baseline,1
32,1,32,8,5,2,0,43.59,58.5587,-14.9687,14.9687,0.52245305,0.619254,1,baseline,1
33,1,33,9,5,3,0,93.82,54.0681,39.7519,39.7519,0.55962785,0.635139,1,baseline,1
34,1,34,10,5,4,0,55.97,65.9937,-10.0237,10.0237,0.51503555,0.635198,0,baseline,1
35,1,35,11,5,5,0,63.54,62.9866,0.5534,0.5534,0.5008301,0.63815,1,baseline,1
36,1,36,12,6,0,1,42.69,63.1526,-20.4626,20.4626,0.7806938999999999,0.73944,0,baseline,1
37,1,37,13,6,1,0,21.06,57.0138,-35.9538,35.9538,0.5539307,0.643371,0,baseline,1
38,1,38,14,6,2,0,59.12,46.2277,12.8923,12.8923,0.51933845,0.612691,1,baseline,1
39,1,39,15,6,3,0,12.62,50.0954,-37.4754,37.4754,0.5562131,0.647317,1,baseline,1
40,1,40,16,6,4,0,56.06,38.8528,17.2072,17.2072,0.5258108,0.620553,0,baseline,1
41,1,41,17,6,5,0,44.12,44.0149,0.1051,0.1051,0.50015765,0.619678,0,baseline,1
42,1,42,18,7,0,1,37.22,44.0465,-6.8265,6.8265,0.76023975,0.740196,1,baseline,1
43,1,43,19,7,1,0,78.92,41.9985,36.9215,36.9215,0.55538225,0.656974,1,baseline,1
44,1,44,20,7,2,0,86.83,53.075,33.755,33.755,0.5506325,0.637197,1,baseline,1
45,1,45,21,7,3,0,35.27,63.2015,-27.9315,27.9315,0.54189725,0.638142,0,baseline,1
46,1,46,22,7,4,0,65.04,54.822,10.218,10.218,0.515327,0.664276,1,baseline,1
47,1,47,23,7,5,0,59.21,57.8874,1.3226,1.3226,0.5019839,0.623436,1,baseline,1
48,2,48,0,8,0,0,52.62,50.0,2.62,2.62,0.50393,0.629425,1,baseline,1
49,2,49,1,8,1,0,86.08,50.786,35.294,35.294,0.552941,0.643461,1,baseline,1
50,2,50,2,8,2,0,16.11,61.3742,-45.2642,45.2642,0.5678963,0.641824,1,baseline,1
51,2,51,3,8,3,0,27.81,47.7949,-19.9849,19.9849,0.52997735,0.640683,0,baseline,1
52,2,52,4,8,4,0,7.21,41.7995,-34.5895,34.5895,0.55188425,0.654588,0,baseline,1
53,2,53,5,8,5,0,61.08,31.4226,29.6574,29.6574,0.5444861,0.658289,1,baseline,1
54,2,54,6,9,0,1,40.55,40.3198,0.2302,0.2302,0.7503453,0.731563,1,baseline,1
55,2,55,7,9,1,0,70.74,40.3889,30.3511,30.3511,0.54552665,0.661076,1,baseline,1
56,2,56,8,9,2,0,38.12,49.4942,-11.3742,11.3742,0.5170613,0.612235,0,baseline,1
57,2,57,9,9,3,0,57.22,46.082,11.138,11.138,0.516707,0.630651,0,baseline,1
58,2,58,10,9,4,0,44.25,49.4234,-5.1734,5.1734,0.5077601,0.625684,1,baseline,1
59,2,59,11,9,5,0,33.17,47.8714,-14.7014,14.7014,0.5220521,0.613105,1,baseline,1
60,2,60,12,10,0,1,68.33,43.4609,24.8691,24.8691,0.78730365,0.758618,0,baseline,1
61,2,61,13,10,1,0,56.76,50.9217,5.8383,5.8383,0.50875745,0.607749,1,baseline,1
62,2,62,14,10,2,0,93.03,52.6732,40.3568,40.3568,0.5605352,0.668751,1,baseline,1
63,2,63,15,10,3,0,38.76,64.7802,-26.0202,26.0202,0.5390303,0.632381,0,baseline,1
64,2,64,16,10,4,0,55.64,56.9742,-1.3342,1.3342,0.5020013,0.637295,1,baseline,1
65,2,65,17,10,5,0,23.59,56.5739,-32.9839,32.9839,0.54947585,0.645348,0,baseline,1
66,2,66,18,11,0,1,27.08,46.6787,-19.5987,19.5987,0.77939805,0.743387,1,baseline,1
67,2,67,19,11,1,0,98.77,40.7991,57.9709,57.9709,0.58695635,0.662513,0,baseline,1
68,2,68,20,11,2,0,23.32,58.1904,-34.8704,34.8704,0.5523056,0.647235,1,baseline,1
69,2,69,21,11,3,0,62.36,47.7293,14.6307,14.6307,0.52194605,0.653388,1,baseline,1
70,2,70,22,11,4,0,80.31,52.1185,28.1915,28.1915,0.54228725,0.633969,1,baseline,1
71,2,71,23,11,5,0,60.1,60.5759,-0.4759,0.4759,0.50071385,0.623955,0,baseline,1
72,3,72,0,12,0,0,45.4,50.0,-4.6,4.6,0.5069,0.637659,1,baseline,1
73,3,73,1,12,1,0,30.02,48.62,-18.6,18.6,0.5279,0.64924,1,baseline,1
74,3,74,2,12,2,0,58.16,43.04,15.12,15.12,0.52268,0.630046,1,baseline,1
75,3,75,3,12,3,0,31.21,47.576,-16.366,16.366,0.524549,0.63773,1,baseline,1
76,3,76,4,12,4,0,28.69,42.6662,-13.9762,13.9762,0.5209643,0.637104,1,baseline,1
77,3,77,5,12,5,0,58.52,38.4733,20.0467,20.0467,0.53007005,0.630959,1,baseline,1
78,3,78,6,13,0,1,65.12,44.4873,20.6327,20.6327,0.78094905,0.745468,1,baseline,1
79,3,79,7,13,1,0,51.55,50.6771,0.8729,0.8729,0.50130935,0.618891,1,baseline,1
80,3,80,8,13,2,0,78.98,50.939,28.041,28.041,0.5420615,0.62268,1,baseline,1
81,3,81,9,13,3,0,56.16,59.3513,-3.1913,3.1913,0.50478695,0.6442,1,baseline,1
82,3,82,10,13,4,0,57.53,58.3939,-0.8639,0.8639,0.50129585,0.634988,1,baseline,1
83,3,83,11,13,5,0,77.01,58.1347,18.8753,18.8753,0.52831295,0.618785,0,baseline,1
84,3,84,12,14,0,1,43.76,63.7973,-20.0373,20.0373,0.7800559499999999,0.74031,1,baseline,1
85,3,85,13,14,1,0,82.3,57.7861,24.5139,24.5139,0.53677085,0.629246,1,baseline,1
86,3,86,14,14,2,0,61.55,65.1403,-3.5903,3.5903,0.50538545,0.611544,0,baseline,1
87,3,87,15,14,3,0,34.12,64.0632,-29.9432,29.9432,0.5449148,0.638414,0,baseline,1
88,3,88,16,14,4,0,48.9,55.0802,-6.1802,6.1802,0.5092703,0.620175,0,baseline,1
89,3,89,17,14,5,0,61.47,53.2262,8.2438,8.2438,0.5123657,0.617123,1,baseline,1
90,3,90,18,15,0,1,36.87,55.6993,-18.8293,18.8293,0.77824395,0.738124,0,baseline,1
91,3,91,19,15,1,0,44.05,50.0505,-6.0005,6.0005,0.50900075,0.63715,1,baseline,1
92,3,92,20,15,2,0,45.42,48.2504,-2.8304,2.8304,0.5042456,0.629521,1,baseline,1
93,3,93,21,15,3,0,85.37,47.4013,37.9687,37.9687,0.55695305,0.650834,1,baseline,1
94,3,94,22,15,4,0,57.85,58.7919,-0.9419,0.9419,0.50141285,0.641715,0,baseline,1
95,3,95,23,15,5,0,48.84,58.5093,-9.6693,9.6693,0.51450395,0.628619,0,baseline,1
0,0,0,0,0,0,0,69.93,50.0,19.93,19.93,0.529895,0.636683,0,baseline,2
1,0,1,1,0,1,0,62.48,55.979,6.501,6.501,0.5097515,0.60625,0,baseline,2
2,0,2,2,0,2,0,66.4,57.9293,8.4707,8.4707,0.51270605,0.62867,0,baseline,2
3,0,3,3,0,3,0,25.92,60.4705,-34.5505,34.5505,0.55182575,0.634018,0,baseline,2
4,0,4,4,0,4,0,51.54,50.1054,1.4346,1.4346,0.5021519,0.635795,1,baseline,2
5,0,5,5,0,5,0,43.36,50.5357,-7.1757,7.1757,0.51076355,0.627463,1,baseline,2
6,0,6,6,1,0,1,67.41,48.383,19.027,19.027,0.7785405,0.72464,1,baseline,2
7,0,7,7,1,1,0,68.77,54.0911,14.6789,14.6789,0.52201835,0.644143,0,baseline,2
8,0,8,8,1,2,0,69.85,58.4948,11.3552,11.3552,0.5170328,0.615487,1,baseline,2
9,0,9,9,1,3,0,0.0,61.9013,-61.9013,61.9013,0.59285195,0.673884,1,baseline,2
10,0,10,10,1,4,0,52.32,43.3309,8.9891,8.9891,0.51348365,0.630324,0,baseline,2
11,0,11,11,1,5,0,85.9,46.0277,39.8723,39.8723,0.55980845,0.659017,0,baseline,2
12,0,12,12,2,0,1,53.08,57.9894,-4.9094,4.9094,0.7573641,0.721156,1,baseline,2
13,0,13,13,2,1,0,50.12,56.5166,-6.3966,6.3966,0.5095949,0.631539,0,baseline,2
14,0,14,14,2,2,0,54.34,54.5976,-0.2576,0.2576,0.5003864,0.62172,1,baseline,2
15,0,15,15,2,3,0,61.56,54.5203,7.0397,7.0397,0.51055955,0.629742,1,baseline,2
16,0,16,16,2,4,0,54.15,56.6322,-2.4822,2.4822,0.5037233,0.590471,0,baseline,2
17,0,17,17,2,5,0,66.98,55.8876,11.0924,11.0924,0.5166386,0.622993,0,baseline,2
18,0,18,18,3,0,1,42.19,59.2153,-17.0253,17.0253,0.77553795,0.75419,1,baseline,2
19,0,19,19,3,1,0,60.28,54.1077,6.1723,6.1723,0.50925845,0.620905,1,baseline,2
20,0,20,20,3,2,0,38.12,55.9594,-17.8394,17.8394,0.5267591,0.646228,0,baseline,2
21,0,21,21,3,3,0,79.88,50.6076,29.2724,29.2724,0.5439086,0.627569,0,baseline,2
22,0,22,22,3,4,0,61.69,59.3893,2.3007,2.3007,0.50345105,0.621234,1,baseline,2
23,0,23,23,3,5,0,58.47,60.0795,-1.6095,1.6095,0.50241425,0.639998,1,baseline,2
24,1,24,0,4,0,0,62.81,50.0,12.81,12.81,0.519215,0.613564,1,baseline,2
25,1,25,1,4,1,0,98.5,53.843,44.657,44.657,0.5669855,0.651829,0,baseline,2
26,1,26,2,4,2,0,80.06,67.2401,12.8199,12.8199,0.51922985,0.626035,0,baseline,2
27,1,27,3,4,3,0,35.16,71.0861,-35.9261,35.9261,0.55388915,0.657399,1,baseline,2
28,1,28,4,4,4,0,72.51,60.3082,12.2018,12.2018,0.5183027,0.624102,1,baseline,2
29,1,29,5,4,5,0,23.41,63.9688,-40.5588,40.5588,0.5608382,0.645005,0,baseline,2
30,1,30,6,5,0,1,54.41,51.8011,2.6089,2.6089,0.75391335,0.761615,0,baseline,2
31,1,31,7,5,1,0,34.74,52.5838,-17.8438,17.8438,0.5267657,0.645447,0,baseline,2
32,1,32,8,5,2,0,42.77,47.2307,-4.4607,4.4607,0.50669105,0.618813,1,baseline,2
33,1,33,9,5,3,0,36.07,45.8925,-9.8225,9.8225,0.51473375,0.642788,1,baseline,2
34,1,34,10,5,4,0,69.64,42.9457,26.6943,26.6943,0.54004145,0.655964,1,baseline,2
35,1,35,11,5,5,0,45.8,50.954,-5.154,5.154,0.507731,0.624334,1,baseline,2
36,1,36,12,6,0,1,62.53,49.4078,13.1222,13.1222,0.7696833,0.747287,0,baseline,2
37,1,37,13,6,1,0,35.57,53.3445,-17.7745,17.7745,0.52666175,0.623546,0,baseline,2
38,1,38,14,6,2,0,30.28,48.0121,-17.7321,17.7321,0.52659815,0.616251,1,baseline,2
39,1,39,15,6,3,0,46.92,42.6925,4.2275,4.2275,0.50634125,0.608899,1,baseline,2
40,1,40,16,6,4,0,50.14,43.9607,6.1793,6.1793,0.50926895,0.622369,1,baseline,2
41,1,41,17,6,5,0,18.07,45.8145,-27.7445,27.7445,0.54161675,0.66206,0,baseline,2
42,1,42,18,7,0,1,68.66,37.4912,31.1688,31.1688,0.7967532,0.756341,0,baseline,2
43,1,43,19,7,1,0,65.2,46.8418,18.3582,18.3582,0.5275373,0.635305,0,baseline,2
44,1,44,20,7,2,0,55.19,52.3493,2.8407,2.8407,0.50426105,0.634654,0,baseline,2
45,1,45,21,7,3,0,59.52,53.2015,6.3185,6.3185,0.50947775,0.618008,0,baseline,2
46,1,46,22,7,4,0,66.62,55.097,11.523,11.523,0.5172845,0.631564,1,baseline,2
47,1,47,23,7,5,0,55.0,58.5539,-3.5539,3.5539,0.50533085,0.614446,1,baseline,2
48,2,48,0,8,0,0,41.61,50.0,-8.39,8.39,0.512585,0.619554,1,baseline,2
49,2,49,1,8,1,0,34.12,47.483,-13.363,13.363,0.5200445,0.607339,0,baseline,2
50,2,50,2,8,2,0,81.74,43.4741,38.2659,38.2659,0.55739885,0.658249,1,baseline,2
51,2,51,3,8,3,0,35.45,54.9539,-19.5039,19.5039,0.52925585,0.642791,0,baseline,2
52,2,52,4,8,4,0,53.96,49.1027,4.8573,4.8573,0.50728595,0.624991,1,baseline,2
53,2,53,5,8,5,0,49.8,50.5599,-0.7599,0.7599,0.50113985,0.63118,1,baseline,2
54,2,54,6,9,0,1,45.91,50.3319,-4.4219,4.4219,0.75663285,0.730632,1,baseline,2
55,2,55,7,9,1,0,68.72,49.0053,19.7147,19.7147,0.52957205,0.636158,0,baseline,2
56,2,56,8,9,2,0,23.41,54.9197,-31.5097,31.5097,0.54726455,0.637239,1,baseline,2
57,2,57,9,9,3,0,11.28,45.4668,-34.1868,34.1868,0.5512802,0.633776,1,baseline,2
58,2,58,10,9,4,0,100.0,35.2108,64.7892,64.7892,0.5971838,0.670356,1,baseline,2
59,2,59,11,9,5,0,93.31,54.6475,38.6625,38.6625,0.55799375,0.665417,1,baseline,2
60,2,60,12,10,0,1,66.02,66.2463,-0.2263,0.2263,0.75033945,0.719619,1,baseline,2
61,2,61,13,10,1,0,75.51,66.1784,9.3316,9.3316,0.5139974,0.607767,0,baseline,2
62,2,62,14,10,2,0,42.8,68.9779,-26.1779,26.1779,0.53926685,0.649394,1,baseline,2
63,2,63,15,10,3,0,60.21,61.1245,-0.9145,0.9145,0.50137175,0.632781,1,baseline,2
64,2,64,16,10,4,0,55.44,60.8502,-5.4102,5.4102,0.5081153,0.641588,1,baseline,2
65,2,65,17,10,5,0,55.24,59.2271,-3.9871,3.9871,0.50598065,0.634624,1,baseline,2
66,2,66,18,11,0,1,49.72,58.031,-8.311,8.311,0.7624665,0.735064,0,baseline,2
67,2,67,19,11,1,0,30.57,55.5377,-24.9677,24.9677,0.53745155,0.667723,1,baseline,2
68,2,68,20,11,2,0,64.93,48.0474,16.8826,16.8826,0.5253239,0.646354,0,baseline,2
69,2,69,21,11,3,0,39.71,53.1122,-13.4022,13.4022,0.5201033,0.620902,0,baseline,2
70,2,70,22,11,4,0,50.69,49.0915,1.5985,1.5985,0.50239775,0.633766,1,baseline,2
71,2,71,23,11,5,0,38.64,49.5711,-10.9311,10.9311,0.51639665,0.637063,1,baseline,2
72,3,72,0,12,0,0,83.07,50.0,33.07,33.07,0.549605,0.653551,1,baseline,2
73,3,73,1,12,1,0,70.84,59.921,10.919,10.919,0.5163785,0.643571,1,baseline,2
